,debt_to_income
158,0.24565588249764547
159,0.2363909375949988
160,0.0
161,0.2353417684066306
162,7.749873444634838e-05
163,0.0038297690814268434
164,0.2363911217800617
165,0.0
166,0.0
167,0.0
168,0.0
169,0.23534166120852762
170,0.0
171,0.23639126818771944
172,0.0
173,0.0
174,0.0
175,0.0
176,0.01259356605015541
177,0.0
178,0.0
179,0.0
180,0.2353417955974703
181,0.23894882625921618
182,0.2740605989366302
183,0.0
184,0.0
185,0.0
186,0.0
187,0.23639107046076058
188,0.0
189,0.0
190,0.0
191,0.2363911453313535
192,0.0032373220603766815
193,0.2363909950859213
194,0.039668223115854315
195,0.0
196,0.0
197,0.23534172878973109
198,0.0
199,0.23639115177726389
200,0.0
201,0.022855345791412903
202,0.0
203,0.2363912528260586
204,0.23639106707402707
205,0.0
206,0.0
207,0.23534168902819966
208,0.0
209,0.0
210,0.23639119623914115
211,0.2363911217800617
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.23639121479729847
218,0.2353418071735931
219,0.0
220,0.23639099602863187
221,0.23639095690492987
222,0.23639112178006177
223,0.0
224,0.0
225,0.0
226,0.23474680828342198
227,0.23639122792170045
228,0.0
229,0.0
230,0.23534174908594718
231,0.03829949672144687
232,0.0
233,0.0
234,0.0
235,0.23639099945328076
236,0.0
237,0.2363911905454075
238,0.23534181416959346
239,0.236390944039837
240,0.23639102944017656
241,0.0
242,0.24119261032503994
243,0.06049540074079096
244,0.0015110367662503562
245,0.020730403016172433
246,0.0
247,0.0
248,0.0
249,0.0
250,0.23474678402915708
251,0.0
252,0.05327708489874261
253,0.0
254,0.0
255,0.23474674572749113
256,0.0
257,0.0
258,0.23534174908594716
259,0.234746742746373
260,0.0
261,0.0
262,0.23534171521498448
263,0.0
264,0.23534181666697812
265,0.2353417782338871
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.23534174908594713
274,0.0
275,0.0
276,0.0
277,0.2475947831392142
278,0.2347467665416914
279,0.23639112178006172
280,0.2579300946249381
281,0.0
282,0.2363911217800617
283,0.23534174908594716
284,0.0
285,0.0
286,0.0
287,0.23639102426062136
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.03497210366875739
299,0.23534171168731932
300,0.0
301,0.005574218244502882
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.2363911217800617
309,0.0
310,0.0
311,0.0
312,0.0
313,0.23639118098353515
314,0.23534179320705964
315,0.05928605742348829
316,0.0
317,0.23534173227971286
318,0.23534168709633912
319,0.23639106964585965
320,0.23639119042888423
321,0.23639104280693743
322,0.2347467869552308
323,0.0
324,0.0
325,0.014924949388944335
326,0.0
327,0.234746800964548
328,0.23639097544282603
329,0.0
330,0.23534180566842572
331,0.0
332,0.0
333,0.23534167567986045
334,0.23474678909072938
335,0.010564731541394461
336,0.0
337,0.23474678635766605
338,0.23534170140712724
339,0.23639106318475075
340,0.236391227665797
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.06668299158629538
347,0.0
348,0.0
349,0.0
350,0.23639104770809655
351,0.23474679658517753
352,0.23474675648877466
353,0.2363909929622483
354,0.0
355,0.23639109905290182
356,0.234746705282201
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.23639112178006172
364,0.2347467779999253
365,0.0
366,0.23639108169094636
367,0.0
368,0.0
369,0.0
370,0.23534179454487808
371,0.23639121548421496
372,0.0
373,0.23639109220267
374,0.0
375,0.0
