region,SOC_label,age group,Observation
East,Sales and customer services,Aged 24 years and under,52751
East,Sales and customer services,Aged 25 to 34 years,45808
East,Sales and customer services,Aged 35 to 49 years,50053
East,Sales and customer services,Aged 50 to 64 years,54287
East,Sales and customer services,Aged 65 years and over,10003
East,"Process, plant and machine operatives",Aged 24 years and under,13224
East,"Process, plant and machine operatives",Aged 25 to 34 years,38962
East,"Process, plant and machine operatives",Aged 35 to 49 years,68814
East,"Process, plant and machine operatives",Aged 50 to 64 years,75798
East,"Process, plant and machine operatives",Aged 65 years and over,12446
East,Elementary occupations,Aged 24 years and under,57899
East,Elementary occupations,Aged 25 to 34 years,61582
East,Elementary occupations,Aged 35 to 49 years,85191
East,Elementary occupations,Aged 50 to 64 years,82351
East,Elementary occupations,Aged 65 years and over,13442
London,"Managers, directors and senior officials",Aged 24 years and under,14861
London,"Managers, directors and senior officials",Aged 25 to 34 years,156268
London,"Managers, directors and senior officials",Aged 35 to 49 years,283163
London,"Managers, directors and senior officials",Aged 50 to 64 years,154338
London,"Managers, directors and senior officials",Aged 65 years and over,25776
London,Professional occupations,Aged 24 years and under,72561
London,Professional occupations,Aged 25 to 34 years,412995
London,Professional occupations,Aged 35 to 49 years,403329
London,Professional occupations,Aged 50 to 64 years,202747
London,Professional occupations,Aged 65 years and over,31766
London,Associate professional and technical,Aged 24 years and under,65674
London,Associate professional and technical,Aged 25 to 34 years,252395
London,Associate professional and technical,Aged 35 to 49 years,217895
London,Associate professional and technical,Aged 50 to 64 years,115884
London,Associate professional and technical,Aged 65 years and over,17030
London,Administrative and secretarial,Aged 24 years and under,36922
London,Administrative and secretarial,Aged 25 to 34 years,99307
London,Administrative and secretarial,Aged 35 to 49 years,116854
London,Administrative and secretarial,Aged 50 to 64 years,100438
London,Administrative and secretarial,Aged 65 years and over,16814
London,Skilled trades,Aged 24 years and under,26013
London,Skilled trades,Aged 25 to 34 years,80347
London,Skilled trades,Aged 35 to 49 years,123326
London,Skilled trades,Aged 50 to 64 years,86713
London,Skilled trades,Aged 65 years and over,11643
London,"Caring, leisure and other services",Aged 24 years and under,35821
London,"Caring, leisure and other services",Aged 25 to 34 years,71037
London,"Caring, leisure and other services",Aged 35 to 49 years,116154
London,"Caring, leisure and other services",Aged 50 to 64 years,100764
London,"Caring, leisure and other services",Aged 65 years and over,12316
